Participant	PhaseLabel	Bin	MovieID	InferenceCondition	Count	EyeGaze(meanX)
1	ObjOut	2	01_K_H_R_P_BO_B_B_S	0	1	831
1	ObjOut	2	02_K_H_R_I_BO_B_O_D	0	1	1349
1	ObjOut	2	03_K_H_L_I_BO_O_B_S	0	1	935
1	ObjOut	2	04_K_H_L_P_BO_O_O_D	0	1	1057
1	ObjOut	2	06_K_H_L_P_OB_B_B_D	0	1	945
1	ObjOut	2	07_K_H_R_I_OB_O_B_D	0	1	1291
1	ObjOut	2	08_K_H_R_P_OB_O_O_S	0	1	922
1	ObjOut	2	09_K_H_R_P_SP_S_S_S	0	1	1336
1	ObjOut	2	10_K_H_R_I_SP_S_P_D	0	1	767
1	ObjOut	2	11_K_H_L_I_SP_P_S_S	0	1	885
1	ObjOut	2	12_K_H_L_P_SP_P_P_D	0	1	960
1	ObjOut	2	13_K_H_L_I_PS_S_P_S	0	1	921
1	ObjOut	2	14_K_H_L_P_PS_S_S_D	0	1	1313
1	ObjOut	2	15_K_H_R_I_PS_P_S_D	0	1	872
1	ObjOut	2	16_K_H_R_P_PS_P_P_S	0	1	1344
1	ObjOut	2	73_T_H_M_I_SP_S_P_D	1	1	1334
1	ObjOut	2	74_T_H_M_I_SP_P_S_S	1	1	1304
1	ObjOut	2	79_T_H_M_I_PS_S_P_S	1	1	1329
1	ObjOut	2	80_T_H_M_I_PS_P_S_D	1	1	1299
1	ObjOut	2	91_T_H_M_I_BO_O_B_S	1	1	1340
1	ObjOut	2	92_T_H_M_I_BO_B_O_D	1	1	1325
1	ObjOut	2	93_T_H_M_I_OB_O_B_D	1	1	1327
1	ObjOut	3	01_K_H_R_P_BO_B_B_S	0	1	834
1	ObjOut	3	02_K_H_R_I_BO_B_O_D	0	1	1346
1	ObjOut	3	03_K_H_L_I_BO_O_B_S	0	1	940
1	ObjOut	3	04_K_H_L_P_BO_O_O_D	0	1	1053
1	ObjOut	3	06_K_H_L_P_OB_B_B_D	0	1	950
1	ObjOut	3	07_K_H_R_I_OB_O_B_D	0	1	1289
1	ObjOut	3	08_K_H_R_P_OB_O_O_S	0	1	920
1	ObjOut	3	09_K_H_R_P_SP_S_S_S	0	1	1328
1	ObjOut	3	10_K_H_R_I_SP_S_P_D	0	1	766
1	ObjOut	3	11_K_H_L_I_SP_P_S_S	0	1	886
1	ObjOut	3	12_K_H_L_P_SP_P_P_D	0	1	949
1	ObjOut	3	13_K_H_L_I_PS_S_P_S	0	1	919
1	ObjOut	3	14_K_H_L_P_PS_S_S_D	0	1	1313
1	ObjOut	3	15_K_H_R_I_PS_P_S_D	0	1	876
1	ObjOut	3	16_K_H_R_P_PS_P_P_S	0	1	1334
1	ObjOut	3	73_T_H_M_I_SP_S_P_D	1	1	1338
1	ObjOut	3	74_T_H_M_I_SP_P_S_S	1	1	1317
1	ObjOut	3	79_T_H_M_I_PS_S_P_S	1	1	1331
1	ObjOut	3	80_T_H_M_I_PS_P_S_D	1	1	1293
1	ObjOut	3	91_T_H_M_I_BO_O_B_S	1	1	1344
1	ObjOut	3	92_T_H_M_I_BO_B_O_D	1	1	1326
1	ObjOut	3	93_T_H_M_I_OB_O_B_D	1	1	1325
1	ObjOut	4	01_K_H_R_P_BO_B_B_S	0	1	833
1	ObjOut	4	02_K_H_R_I_BO_B_O_D	0	1	1346
1	ObjOut	4	03_K_H_L_I_BO_O_B_S	0	1	940
1	ObjOut	4	04_K_H_L_P_BO_O_O_D	0	1	1051
1	ObjOut	4	05_K_H_L_I_OB_B_O_S	0	1	1339
1	ObjOut	4	06_K_H_L_P_OB_B_B_D	0	1	951
1	ObjOut	4	07_K_H_R_I_OB_O_B_D	0	1	1289
1	ObjOut	4	08_K_H_R_P_OB_O_O_S	0	1	923
1	ObjOut	4	09_K_H_R_P_SP_S_S_S	0	1	1325
1	ObjOut	4	10_K_H_R_I_SP_S_P_D	0	1	767
1	ObjOut	4	11_K_H_L_I_SP_P_S_S	0	1	885
1	ObjOut	4	12_K_H_L_P_SP_P_P_D	0	1	899
1	ObjOut	4	13_K_H_L_I_PS_S_P_S	0	1	914
