Participant	PhaseLabel	Bin	MovieID	InferenceCondition	Count	EyeGaze(meanX)
1	ObjOut	2	49_C_R_M_I_SO_S_B_S	0	1	1328
1	ObjOut	2	50_C_R_M_P_SO_S_O_D	0	1	1299
1	ObjOut	2	53_C_R_M_P_OS_S_O_S	0	1	1322
1	ObjOut	2	55_C_R_M_P_OS_O_S_D	0	1	1319
1	ObjOut	2	56_C_R_M_I_OS_O_P_S	0	1	1335
1	ObjOut	2	58_C_R_M_P_BP_B_P_D	0	1	1295
1	ObjOut	2	59_C_R_M_P_BP_P_B_S	0	1	1327
1	ObjOut	2	60_C_R_M_I_BP_P_O_D	0	1	1349
1	ObjOut	2	61_C_R_M_P_PB_B_P_S	0	1	1360
1	ObjOut	2	62_C_R_M_I_PB_B_S_D	0	1	1263
1	ObjOut	2	63_C_R_M_P_PB_P_B_D	0	1	1279
1	ObjOut	2	66_T_R_M_P_SP_S_P_D	1	1	1323
1	ObjOut	2	68_T_R_M_I_SP_P_P_D	1	1	1344
1	ObjOut	2	69_T_R_M_P_PS_S_P_S	1	1	1301
1	ObjOut	2	70_T_R_M_I_PS_S_S_D	1	1	1287
1	ObjOut	2	71_T_R_M_P_PS_P_S_D	1	1	1314
1	ObjOut	2	72_T_R_M_I_PS_P_P_S	1	1	1322
1	ObjOut	2	81_T_R_M_P_OB_B_O_S	1	1	962
1	ObjOut	2	82_T_R_M_I_OB_B_B_D	1	1	965
1	ObjOut	2	83_T_R_M_P_BO_O_B_S	1	1	1331
1	ObjOut	2	85_T_R_M_I_OB_O_O_S	1	1	1333
1	ObjOut	2	86_T_R_M_P_OB_O_B_D	1	1	1324
1	ObjOut	2	87_T_R_M_I_BO_B_B_S	1	1	1332
1	ObjOut	2	88_T_R_M_P_BO_B_O_D	1	1	1321
1	ObjOut	3	49_C_R_M_I_SO_S_B_S	0	1	1329
1	ObjOut	3	50_C_R_M_P_SO_S_O_D	0	1	1300
1	ObjOut	3	53_C_R_M_P_OS_S_O_S	0	1	1316
1	ObjOut	3	55_C_R_M_P_OS_O_S_D	0	1	1313
1	ObjOut	3	56_C_R_M_I_OS_O_P_S	0	1	1340
1	ObjOut	3	58_C_R_M_P_BP_B_P_D	0	1	1283
1	ObjOut	3	59_C_R_M_P_BP_P_B_S	0	1	1324
1	ObjOut	3	60_C_R_M_I_BP_P_O_D	0	1	1340
1	ObjOut	3	61_C_R_M_P_PB_B_P_S	0	1	1357
1	ObjOut	3	62_C_R_M_I_PB_B_S_D	0	1	1256
1	ObjOut	3	63_C_R_M_P_PB_P_B_D	0	1	1279
1	ObjOut	3	66_T_R_M_P_SP_S_P_D	1	1	1298
1	ObjOut	3	67_T_R_M_P_SP_P_S_S	1	1	803
1	ObjOut	3	68_T_R_M_I_SP_P_P_D	1	1	1340
1	ObjOut	3	69_T_R_M_P_PS_S_P_S	1	1	1302
1	ObjOut	3	70_T_R_M_I_PS_S_S_D	1	1	1290
1	ObjOut	3	71_T_R_M_P_PS_P_S_D	1	1	1319
1	ObjOut	3	72_T_R_M_I_PS_P_P_S	1	1	1318
1	ObjOut	3	81_T_R_M_P_OB_B_O_S	1	1	964
1	ObjOut	3	82_T_R_M_I_OB_B_B_D	1	1	786
1	ObjOut	3	83_T_R_M_P_BO_O_B_S	1	1	1338
1	ObjOut	3	85_T_R_M_I_OB_O_O_S	1	1	1322
1	ObjOut	3	86_T_R_M_P_OB_O_B_D	1	1	1322
1	ObjOut	3	87_T_R_M_I_BO_B_B_S	1	1	1332
1	ObjOut	3	88_T_R_M_P_BO_B_O_D	1	1	1307
1	ObjOut	4	49_C_R_M_I_SO_S_B_S	0	1	1341
1	ObjOut	4	50_C_R_M_P_SO_S_O_D	0	1	1303
1	ObjOut	4	53_C_R_M_P_OS_S_O_S	0	1	1315
1	ObjOut	4	55_C_R_M_P_OS_O_S_D	0	1	1279
1	ObjOut	4	56_C_R_M_I_OS_O_P_S	0	1	1336
1	ObjOut	4	58_C_R_M_P_BP_B_P_D	0	1	1289
1	ObjOut	4	59_C_R_M_P_BP_P_B_S	0	1	1334
1	ObjOut	4	60_C_R_M_I_BP_P_O_D	0	1	1339
1	ObjOut	4	61_C_R_M_P_PB_B_P_S	0	1	1364
1	ObjOut	4	62_C_R_M_I_PB_B_S_D	0	1	1251
1	ObjOut	4	63_C_R_M_P_PB_P_B_D	0	1	1271
1	ObjOut	4	67_T_R_M_P_SP_P_S_S	1	1	804
1	ObjOut	4	68_T_R_M_I_SP_P_P_D	1	1	1337
1	ObjOut	4	69_T_R_M_P_PS_S_P_S	1	1	1306
1	ObjOut	4	70_T_R_M_I_PS_S_S_D	1	1	1289
1	ObjOut	4	71_T_R_M_P_PS_P_S_D	1	1	1314
1	ObjOut	4	72_T_R_M_I_PS_P_P_S	1	1	1313
1	ObjOut	4	81_T_R_M_P_OB_B_O_S	1	1	967
1	ObjOut	4	82_T_R_M_I_OB_B_B_D	1	1	699
1	ObjOut	4	83_T_R_M_P_BO_O_B_S	1	1	1338
1	ObjOut	4	85_T_R_M_I_OB_O_O_S	1	1	1326
1	ObjOut	4	86_T_R_M_P_OB_O_B_D	1	1	1321
1	ObjOut	4	87_T_R_M_I_BO_B_B_S	1	1	1336
1	ObjOut	4	88_T_R_M_P_BO_B_O_D	1	1	1288
1	ObjOut	5	49_C_R_M_I_SO_S_B_S	0	1	1344
1	ObjOut	5	50_C_R_M_P_SO_S_O_D	0	1	1301
1	ObjOut	5	53_C_R_M_P_OS_S_O_S	0	1	1319
1	ObjOut	5	55_C_R_M_P_OS_O_S_D	0	1	1231
1	ObjOut	5	56_C_R_M_I_OS_O_P_S	0	1	1328
1	ObjOut	5	58_C_R_M_P_BP_B_P_D	0	1	1278
1	ObjOut	5	59_C_R_M_P_BP_P_B_S	0	1	1326
1	ObjOut	5	60_C_R_M_I_BP_P_O_D	0	1	1352
1	ObjOut	5	61_C_R_M_P_PB_B_P_S	0	1	1355
1	ObjOut	5	62_C_R_M_I_PB_B_S_D	0	1	1262
1	ObjOut	5	63_C_R_M_P_PB_P_B_D	0	1	1271
1	ObjOut	5	65_T_R_M_I_SP_S_S_S	1	1	1113
1	ObjOut	5	67_T_R_M_P_SP_P_S_S	1	1	799
1	ObjOut	5	68_T_R_M_I_SP_P_P_D	1	1	1340
1	ObjOut	5	69_T_R_M_P_PS_S_P_S	1	1	1303
1	ObjOut	5	70_T_R_M_I_PS_S_S_D	1	1	1289
1	ObjOut	5	71_T_R_M_P_PS_P_S_D	1	1	1305
1	ObjOut	5	72_T_R_M_I_PS_P_P_S	1	1	1312
1	ObjOut	5	81_T_R_M_P_OB_B_O_S	1	1	966
1	ObjOut	5	82_T_R_M_I_OB_B_B_D	1	1	700
