Participant	PhaseLabel	Bin	MovieID	InferenceCondition	Count	MeanPupil
1	ObjOut	2	49_C_R_M_I_SO_S_B_S	0	1	0.024806
1	ObjOut	2	50_C_R_M_P_SO_S_O_D	0	1	0.158032
1	ObjOut	2	53_C_R_M_P_OS_S_O_S	0	1	-0.006065
1	ObjOut	2	55_C_R_M_P_OS_O_S_D	0	1	0.026320
1	ObjOut	2	56_C_R_M_I_OS_O_P_S	0	1	0.000452
1	ObjOut	2	58_C_R_M_P_BP_B_P_D	0	1	0.086806
1	ObjOut	2	59_C_R_M_P_BP_P_B_S	0	1	0.053000
1	ObjOut	2	60_C_R_M_I_BP_P_O_D	0	1	0.028500
1	ObjOut	2	61_C_R_M_P_PB_B_P_S	0	1	0.066968
1	ObjOut	2	62_C_R_M_I_PB_B_S_D	0	1	0.047591
1	ObjOut	2	63_C_R_M_P_PB_P_B_D	0	1	-0.028613
1	ObjOut	2	66_T_R_M_P_SP_S_P_D	1	1	-0.076857
1	ObjOut	2	68_T_R_M_I_SP_P_P_D	1	1	0.056903
1	ObjOut	2	69_T_R_M_P_PS_S_P_S	1	1	0.020387
1	ObjOut	2	70_T_R_M_I_PS_S_S_D	1	1	-0.000355
1	ObjOut	2	71_T_R_M_P_PS_P_S_D	1	1	-0.016333
1	ObjOut	2	72_T_R_M_I_PS_P_P_S	1	1	0.003935
1	ObjOut	2	81_T_R_M_P_OB_B_O_S	1	1	0.084839
1	ObjOut	2	82_T_R_M_I_OB_B_B_D	1	1	-0.001903
1	ObjOut	2	83_T_R_M_P_BO_O_B_S	1	1	-0.014903
1	ObjOut	2	85_T_R_M_I_OB_O_O_S	1	1	0.015387
1	ObjOut	2	86_T_R_M_P_OB_O_B_D	1	1	0.029387
1	ObjOut	2	87_T_R_M_I_BO_B_B_S	1	1	0.020290
1	ObjOut	2	88_T_R_M_P_BO_B_O_D	1	1	0.028742
1	ObjOut	3	49_C_R_M_I_SO_S_B_S	0	1	0.040806
1	ObjOut	3	50_C_R_M_P_SO_S_O_D	0	1	0.146032
1	ObjOut	3	53_C_R_M_P_OS_S_O_S	0	1	-0.005065
1	ObjOut	3	55_C_R_M_P_OS_O_S_D	0	1	0.035320
1	ObjOut	3	56_C_R_M_I_OS_O_P_S	0	1	0.019452
1	ObjOut	3	58_C_R_M_P_BP_B_P_D	0	1	0.089806
1	ObjOut	3	59_C_R_M_P_BP_P_B_S	0	1	0.073000
1	ObjOut	3	60_C_R_M_I_BP_P_O_D	0	1	0.033500
1	ObjOut	3	61_C_R_M_P_PB_B_P_S	0	1	0.056968
