Participant 	PhaseLabel	Bin	MovieID	InferenceCondition	Count	EyeGaze(meanX)
1	ObjOut	2	17_C_H_M_P_SO_S_S_S	0	1	1328
1	ObjOut	2	19_C_H_M_I_SO_O_S_S	0	1	1319
1	ObjOut	2	21_C_H_M_I_OS_S_O_S	0	1	1357
1	ObjOut	2	22_C_H_M_P_OS_S_S_D	0	1	802
1	ObjOut	2	23_C_H_M_I_OS_O_S_D	0	1	1304
1	ObjOut	2	24_C_H_M_P_OS_O_O_S	0	1	1322
1	ObjOut	2	26_C_H_M_I_BP_B_P_D	0	1	1315
1	ObjOut	2	27_C_H_M_I_BP_P_B_S	0	1	1332
1	ObjOut	2	28_C_H_M_P_BP_P_P_D	0	1	1349
1	ObjOut	2	29_C_H_M_I_PB_B_P_S	0	1	837
1	ObjOut	2	30_C_H_M_P_PB_B_B_D	0	1	830
1	ObjOut	2	31_C_H_M_I_PB_P_B_D	0	1	1346
1	ObjOut	2	32_C_H_M_P_PB_P_P_S	0	1	1363
1	ObjOut	2	73_T_H_M_I_SP_S_P_D	1	1	1334
1	ObjOut	2	74_T_H_M_I_SP_P_S_S	1	1	1304
1	ObjOut	2	79_T_H_M_I_PS_S_P_S	1	1	1329
1	ObjOut	2	80_T_H_M_I_PS_P_S_D	1	1	1299
1	ObjOut	2	91_T_H_M_I_BO_O_B_S	1	1	1340
1	ObjOut	2	92_T_H_M_I_BO_B_O_D	1	1	1325
1	ObjOut	2	93_T_H_M_I_OB_O_B_D	1	1	1327
1	ObjOut	3	17_C_H_M_P_SO_S_S_S	0	1	1326
1	ObjOut	3	19_C_H_M_I_SO_O_S_S	0	1	1313
1	ObjOut	3	21_C_H_M_I_OS_S_O_S	0	1	1355
1	ObjOut	3	22_C_H_M_P_OS_S_S_D	0	1	802
1	ObjOut	3	23_C_H_M_I_OS_O_S_D	0	1	1300
1	ObjOut	3	24_C_H_M_P_OS_O_O_S	0	1	1330
1	ObjOut	3	26_C_H_M_I_BP_B_P_D	0	1	1312
1	ObjOut	3	27_C_H_M_I_BP_P_B_S	0	1	1335
1	ObjOut	3	28_C_H_M_P_BP_P_P_D	0	1	1347
1	ObjOut	3	29_C_H_M_I_PB_B_P_S	0	1	837
1	ObjOut	3	30_C_H_M_P_PB_B_B_D	0	1	829
1	ObjOut	3	31_C_H_M_I_PB_P_B_D	0	1	1345
1	ObjOut	3	32_C_H_M_P_PB_P_P_S	0	1	1357
1	ObjOut	3	73_T_H_M_I_SP_S_P_D	1	1	1338
1	ObjOut	3	74_T_H_M_I_SP_P_S_S	1	1	1317
1	ObjOut	3	79_T_H_M_I_PS_S_P_S	1	1	1331
1	ObjOut	3	80_T_H_M_I_PS_P_S_D	1	1	1293
1	ObjOut	3	91_T_H_M_I_BO_O_B_S	1	1	1344
1	ObjOut	3	92_T_H_M_I_BO_B_O_D	1	1	1326
1	ObjOut	3	93_T_H_M_I_OB_O_B_D	1	1	1325
1	ObjOut	4	17_C_H_M_P_SO_S_S_S	0	1	1327
1	ObjOut	4	19_C_H_M_I_SO_O_S_S	0	1	1320
1	ObjOut	4	21_C_H_M_I_OS_S_O_S	0	1	1358
1	ObjOut	4	22_C_H_M_P_OS_S_S_D	0	1	806
1	ObjOut	4	23_C_H_M_I_OS_O_S_D	0	1	1307
1	ObjOut	4	24_C_H_M_P_OS_O_O_S	0	1	1325
1	ObjOut	4	26_C_H_M_I_BP_B_P_D	0	1	1316
1	ObjOut	4	27_C_H_M_I_BP_P_B_S	0	1	1334
1	ObjOut	4	28_C_H_M_P_BP_P_P_D	0	1	1338
1	ObjOut	4	29_C_H_M_I_PB_B_P_S	0	1	839
1	ObjOut	4	30_C_H_M_P_PB_B_B_D	0	1	824
1	ObjOut	4	31_C_H_M_I_PB_P_B_D	0	1	1343
1	ObjOut	4	32_C_H_M_P_PB_P_P_S	0	1	1361
1	ObjOut	4	73_T_H_M_I_SP_S_P_D	1	1	1333
