Participant	Trial	Bin	MovieID	Experiment	X	PD
2	1	1	T7IC1STTSS	19-NoInf	959	-0.11594444
2	1	2	T7IC1STTSS	19-NoInf	955	-0.12294444
2	1	3	T7IC1STTSS	19-NoInf	961	-0.11994444
2	1	4	T7IC1STTSS	19-NoInf	961	-0.12594444
2	1	5	T7IC1STTSS	19-NoInf	955	-0.13694444
2	1	6	T7IC1STTSS	19-NoInf	957	-0.12494444
2	1	7	T7IC1STTSS	19-NoInf	962	-0.11794444
2	1	8	T7IC1STTSS	19-NoInf	956	-0.12394444
2	1	9	T7IC1STTSS	19-NoInf	955	-0.11994444
2	1	10	T7IC1STTSS	19-NoInf	1008	-0.12494444
2	1	11	T7IC1STTSS	19-NoInf	1098	-0.11194444
2	1	12	T7IC1STTSS	19-NoInf	1098	-0.11994444
2	1	13	T7IC1STTSS	19-NoInf	1102	-0.11294444
2	1	14	T7IC1STTSS	19-NoInf	1101	-0.11694444
2	1	15	T7IC1STTSS	19-NoInf	1104	-0.10194444
2	1	16	T7IC1STTSS	19-NoInf	1098	-0.11394444
2	1	17	T7IC1STTSS	19-NoInf	1102	-0.10394444
2	1	18	T7IC1STTSS	19-NoInf	1105	-0.09794444
2	1	19	T7IC1STTSS	19-NoInf	1108	-0.07594444
2	1	20	T7IC1STTSS	19-NoInf	1101	-0.06594444
2	1	21	T7IC1STTSS	19-NoInf	1099	-0.08494444
2	1	22	T7IC1STTSS	19-NoInf	1095	-0.04594444
2	1	23	T7IC1STTSS	19-NoInf	1100	-0.04794444
2	1	24	T7IC1STTSS	19-NoInf	1095	-0.05094444
2	1	25	T7IC1STTSS	19-NoInf	1095	-0.03494444
2	1	26	T7IC1STTSS	19-NoInf	1093	-0.01994444
2	1	27	T7IC1STTSS	19-NoInf	1100	-0.00194444
2	1	28	T7IC1STTSS	19-NoInf	1099	0.00205556
2	1	29	T7IC1STTSS	19-NoInf	1090	0.01705556
2	1	30	T7IC1STTSS	19-NoInf	1094	0.01805556
2	1	31	T7IC1STTSS	19-NoInf	1097	0.02305556
2	1	32	T7IC1STTSS	19-NoInf	1095	0.03405556
2	1	33	T7IC1STTSS	19-NoInf	1090	0.02805556
2	1	34	T7IC1STTSS	19-NoInf	1099	0.00905556
2	1	35	T7IC1STTSS	19-NoInf	1089	0.01705556
2	1	36	T7IC1STTSS	19-NoInf	1090	0.01905556
2	1	37	T7IC1STTSS	19-NoInf	1091	0.01705556
2	1	38	T7IC1STTSS	19-NoInf	1096	0.01105556
2	1	39	T7IC1STTSS	19-NoInf	1095	0.00605556
2	1	40	T7IC1STTSS	19-NoInf	1086	-0.00394444
2	1	41	T7IC1STTSS	19-NoInf	1094	-0.01394444
2	1	42	T7IC1STTSS	19-NoInf	1091	-0.01994444
2	1	43	T7IC1STTSS	19-NoInf	1093	-0.03394444
2	1	44	T7IC1STTSS	19-NoInf	1090	-0.04294444
2	1	45	T7IC1STTSS	19-NoInf	1094	-0.04494444
2	1	46	T7IC1STTSS	19-NoInf	1089	-0.05994444
