Participant	LTDiff	Shift	X	PD
1	-1.2222222	0.80000000	1156.4306	0.05886347
2	2.3083333	0.75000000	1241.7410	0.08074260
3	3.3250000	0.50000000	1075.7768	-0.02560044
4	-1.8416667	0.50000000	1214.8433	-0.07479234
5	0.74166667	0.66666667	1166.4210	-0.08206614
6	0.65000000	0.33333333	1064.2796	-0.09268325
7	1.7416667	0.60000000	1105.1336	-0.10054497
8	0.92222222	1	1144.1910	-0.23070712
9	3.9305556	0.83333333	1232.2190	0.05325074
10	4.2722222	0.83333333	1159.7703	-0.04988656
11	1.6277778	0.40000000	1076.7725	0.09103689
12	-2.6500000	0.33333333	1002.0858	-0.13215230
13	-0.76111111	1	1132.8039	-0.26772889
14	0.56666667	0.66666667	1115.0211	-0.09274926
15	2.7833333	0.83333333	1192.4118	-0.08290856
16	0.18055556	0.66666667	1126.5797	-0.16768224
17	4.4666667	1	1181.1603	0.08460519
18	-3.1722222	1	1169.2825	-0.04484444
19	0.27500000	0.16666667	1044.1171	0.03372908
20	0.91666667	0.66666667	1209.9281	0.00535333
21	3.4722222	0.66666667	1091.0425	-0.11637259
22	2.5000000	0.33333333	1055.8660	-0.01206296
23	3.2055556	0.66666667	1124.3983	-0.02787185
24	1.9944444	1	1153.9098	-0.05931067
