Anoniname	MLTDiff	SIO>2%	SInfX	SInfPD
1	2.5583333	0.75000000	1146.5568	0.11849008
2	1.7333333	1	1178.1212	0.08399735
3	0.21666667	0.33333333	1016.6515	-0.00823545
4	-2.6083333	1	1184.8461	-0.11033862
5	0.16666667	1	1280.7955	0.13413889
6	0.79166667	0.75000000	1078.3295	-0.01251389
7	3.1416667	1	1276.7614	0.13565722
8	2.8666667	0.75000000	1097.7584	-0.08303373
9	4.4500000	1	1242.0909	0.07023492
10	-1.3333333	0.75000000	1148.5548	0.04068254
11	-0.11666667	1	961.41477	-0.01310714
12	6.9833333	1	1241.6667	0.04297619
13	5.6333333	1	1163.3068	-0.03624603
14	-0.68333333	0	960.47727	0.06581944
15	2.3750000	1	1225.9697	-0.11656085
16	0.43333333	0	999.56818	0.09637798
17	-1.4000000	0.50000000	1146.3637	0.11347421
18	-1.1000000	0.50000000	1024.9886	0.04376984
19	3.4333333	1	1152.5720	0.00579365
20	2.1500000	0.75000000	1244.9607	0.01676786
21	1.6333333	0.66666667	1153.2433	0.01483069
22	3.8500000	1	1293.4848	0.04289947
23	0.45000000	0.66666667	1078.8485	0.00847048
24	7.9166667	0.50000000	1041.7273	0.08460992
