Participant	Trial	Outcome	Couple	Distance	LookingTime
1	2	P	C2	S	1.1666667
1	3	P	C3	S	1.9500000
1	5	I	C3	D	1.0833333
2	1	I	C1	S	2.0500000
2	2	P	C2	D	2.4666667
2	3	P	C3	D	1.4333333
2	4	I	C2	S	1.9000000
2	5	I	C3	S	2.6666667
2	6	P	C1	D	2.1166667
3	1	I	C1	D	7.2666667
3	2	P	C2	S	3.6833333
3	3	P	C3	S	6.2666667
3	5	I	C3	D	11.516667
3	6	P	C1	S	3.1833333
4	1	P	C1	D	4.5666667
4	2	I	C2	S	12.033333
4	3	I	C3	S	5.6833333
4	4	P	C2	D	5.0166667
5	1	P	C1	S	3.5333333
5	2	I	C2	D	2.5166667
5	3	I	C3	D	13.783333
5	4	P	C2	S	2.1500000
5	5	P	C3	S	3.8666667
5	6	I	C1	D	6.8166667
6	1	I	C2	D	13.683333
6	2	P	C3	S	4.8666667
6	3	P	C1	S	1.6500000
6	4	I	C3	D	5.8500000
6	5	I	C1	D	2.0333333
6	6	P	C2	S	1.7833333
7	1	I	C2	S	6.7833333
7	4	I	C3	S	5.8666667
7	5	I	C1	S	6.5666667
7	6	P	C2	D	1.6333333
8	2	I	C3	S	19.783333
8	3	I	C1	S	13.416667
8	4	P	C3	D	3.8166667
8	5	P	C1	D	5.1666667
8	6	I	C2	S	13.650000
9	2	P	C1	S	1.6166667
9	3	P	C2	S	2.6666667
9	4	I	C1	D	4.6666667
9	5	I	C2	D	2.5833333
9	6	P	C3	S	1.1000000
10	1	I	C3	S	12.566667
10	2	P	C1	D	4.4500000
10	3	P	C2	D	5.4166667
10	4	I	C1	S	20.850000
10	5	I	C2	S	12.433333
11	2	I	C1	S	3.6166667
11	3	I	C2	S	12.166667
11	5	P	C2	D	4.7333333
11	6	I	C3	S	7.3500000
12	1	P	C3	S	7.2500000
12	2	I	C1	D	5.8500000
12	3	I	C2	D	2.8000000
13	1	I	C1	D	13.700000
13	2	P	C3	S	5.6666667
13	3	P	C2	S	3.1666667
13	5	I	C2	D	5.0833333
13	6	P	C1	S	2.1833333
14	1	I	C1	S	8.7500000
14	2	P	C3	D	9.8833333
14	3	P	C2	D	3.1333333
14	4	I	C3	S	13.266667
14	5	I	C2	S	2.6833333
15	2	I	C3	S	19.316667
15	3	I	C2	S	15.300000
15	4	P	C3	D	5.3166667
15	5	P	C2	D	2.7500000
15	6	I	C1	S	2.5666667
16	1	P	C1	S	7.5166667
16	3	I	C2	D	10.166667
16	4	P	C3	S	3.3000000
16	6	I	C1	D	6.0666667
17	4	I	C1	D	20.316667
17	6	P	C2	S	5.5666667
18	1	I	C2	S	6.6666667
18	2	P	C1	D	8.9833333
18	3	P	C3	D	10.566667
18	4	I	C1	S	3.9333333
18	5	I	C3	S	2.6166667
18	6	P	C2	D	3.0500000
19	2	I	C1	S	4.9666667
19	3	I	C3	S	4.0833333
19	4	P	C1	D	1.6000000
19	6	I	C2	S	4.1166667
20	1	P	C2	S	2.5333333
20	2	I	C1	D	4.9833333
20	6	I	C2	D	13.166667
21	1	I	C3	D	12.350000
21	3	P	C1	S	1.5666667
21	5	I	C1	D	9.1333333
22	1	I	C3	S	14.783333
22	2	P	C2	D	1.2333333
22	3	P	C1	D	1.1500000
22	5	I	C1	S	3.6166667
23	1	P	C3	D	1.9500000
23	2	I	C2	S	6.0333333
24	2	I	C3	D	11.133333
24	3	I	C1	D	6.0833333
24	4	P	C3	S	7.7333333
24	5	P	C1	S	3.6666667
24	6	I	C2	D	3.9500000
